province,date,value
江苏,20161031,89860.06
江苏,20161130,90450.14
江苏,20161231,91107.6
江苏,20170131,93500.83
江苏,20170228,94763.83
江苏,20170331,95245.24
江苏,20170430,96303.65
江苏,20170531,97071.54
江苏,20170630,98198.47
江苏,20170731,98872.45
江苏,20170831,99777.59
江苏,20170930,100523.6
江苏,20171031,94763.83
江苏,20171130,101649.86
江苏,20171231,102113.27
江苏,20180131,104438.77
江苏,20180228,105500
江苏,20180331,106395.4
江苏,20180430,107446.37
江苏,20180531,108332.37
江苏,20180630,109822.13
江苏,20180731,110895.41
江苏,20180831,111933.9
江苏,20180930,113225.55
江苏,20181031,114082.28
江苏,20181130,115040.4
江苏,20181231,115719
江苏,20190131,119984.95
江苏,20190228,120853.65
江苏,20190331,122596.53
江苏,20190430,123621.51
江苏,20190531,124657.01
江苏,20190630,126394.97
江苏,20190731,127449.25
江苏,20190831,128864.57
江苏,20190930,130640.36
江苏,20191031,131323.12
江苏,20191130,132379.69
江苏,20191231,133329.87
江苏,20200131,138510.48
江苏,20200229,139762
江苏,20200331,142315.54
江苏,20200430,143953.32
江苏,20200531,145511.44
江苏,20200630,147576.74
江苏,20200731,148489.35
江苏,20200831,149866.84
江苏,20200930,151602.93
江苏,20201031,152395.15
江苏,20201130,153310.79
江苏,20201231,154523.28
江苏,20210131,159921.24
江苏,20210228,161869.05
江苏,20210331,164599.82
江苏,20210430,166359.57
江苏,20210531,167665.87
江苏,20210630,169777.21
江苏,20210731,170852.77
江苏,20210831,172128.66
江苏,20210930,174022.89
江苏,20211031,174781.58
江苏,20211130,176402.35
江苏,20211231,177970.1
江苏,20220131,184361.53
江苏,20220228,185919.88
江苏,20220331,189165
江苏,20220430,190143.38
江苏,20220531,191987.73
江苏,20220630,195144.81
江苏,20220731,196047.98
江苏,20220831,197290.41
江苏,20220930,199782.65
江苏,20221031,200495.76
江苏,20221130,202154.97
江苏,20221231,203925.53
江苏,20230131,212746.29
江苏,20230228,215102.09
江苏,20230331,219474.36
江苏,20230430,220583.94
江苏,20230531,221975.11
江苏,20230630,225948.62
江苏,20230731,226090.82
江苏,20230831,227401.11
江苏,20230930,230460.51
江苏,20231031,230943.97
江苏,20231130,231991.9
江苏,20231231,233995.68
江苏,20240131,241606.13
江苏,20240229,244037.83
江苏,20240331,247679.09
江苏,20240430,248496.94
江苏,20240531,249764.9
江苏,20240630,253094.33
江苏,20240731,253061.1
江苏,20240831,254394.89
江苏,20240930,256715.24
江苏,20241031,257003.35
江苏,20241130,257703.6
江苏,20241231,258285.92
浙江,20090131,30125.21
浙江,20090228,30899.9
浙江,20090331,32822.79
浙江,20090430,33162.16
